Polska,2003-07-16,Kowalski,440.00
Polska,2003-07-10,Sowiski,1863.40
Polska,2003-07-23,Kowalski,556.62
Polska,2003-07-15,Dudek,2490.50
Polska,2003-07-31,Dudek,1873.80
Polska,2003-08-23,Sowiski,695.62
Polska,2003-08-09,Kowalski,642.20
Polska,2003-08-30,Sowiski,48.00
Polska,2003-08-06,Sowiski,1456.00
Polska,2003-08-16,Sowiski,538.60
Polska,2003-08-28,King,479.40
Polska,2003-09-04,Sowiski,497.52
Polska,2003-09-11,Sowiski,1050.60
Polska,2003-09-10,Kowalski,1420.00
Polska,2003-09-11,Sowiski,2645.00
Polska,2003-09-18,King,1117.80
Polska,2003-09-24,King,88.80
Polska,2003-10-10,Sowiski,288.00
Polska,2003-10-11,King,1191.20
Polska,2003-10-18,Kowalski,516.00
Polska,2003-10-23,King,112.00
Polska,2003-10-10,Dudek,5275.71
Polska,2003-10-21,Dudek,88.50
Polska,2003-10-25,Kowalski,877.20
Polska,2003-10-24,King,2036.16
Polska,2003-10-25,King,285.12
Polska,2003-11-05,King,352.60
Polska,2003-11-15,King,141.60
Polska,2003-12-03,Sowiski,642.06
Polska,2003-11-25,King,8593.28
Polska,2003-11-20,Sowiski,480.00
Polska,2003-11-27,Sowiski,1106.40
Polska,2003-11-27,Kowalski,429.40
Polska,2003-11-26,Kowalski,3471.68
Polska,2003-12-02,King,834.20
Polska,2003-12-27,Sowiski,1117.60
Polska,2003-12-09,Kowalski,9210.90
Polska,2003-12-19,Kowalski,103.20
Polska,2003-12-25,Dudek,166.00
Polska,2003-12-26,Sowiski,2090.88
Polska,2004-01-03,Sowiski,2122.92
Polska,2004-01-02,Kowalski,716.72
Polska,2004-01-13,King,1830.78
Polska,2004-01-21,Dudek,966.80
Polska,2004-02-24,Sowiski,1020.00
Polska,2004-01-27,King,9194.56
Polska,2004-02-14,Sowiski,360.00
Polska,2004-02-04,King,192.00
Polska,2004-02-10,Sowiski,1078.00
Polska,2004-02-19,Sowiski,246.24
Polska,2004-03-04,King,3891.00
Polska,2004-03-06,Kowalski,713.30
Polska,2004-03-21,Kowalski,1249.10
Polska,2004-04-04,Dudek,1505.18
Polska,2004-03-25,Kowalski,558.00
Polska,2004-03-24,Sowiski,756.00
Polska,2004-04-25,King,668.80
Polska,2004-04-09,Sowiski,439.20
Polska,2004-04-03,King,3163.20
Polska,2004-04-07,King,190.00
Polska,2004-04-07,King,1380.60
Polska,2004-04-17,Sowiski,523.26
Polska,2004-04-16,Dudek,149.00
Polska,2004-04-16,Sowiski,2048.50
Polska,2004-05-02,Dudek,415.80
Polska,2004-04-22,King,749.06
Polska,2004-04-28,Sowiski,4707.54
Polska,2004-04-24,King,525.30
Polska,2004-04-28,King,1942.00
Polska,2004-05-01,Sowiski,2314.20
Polska,2004-05-01,King,200.00
Polska,2004-05-30,King,2444.31
Polska,2004-05-07,King,1503.00
Polska,2004-05-09,Sowiski,392.20
Polska,2004-05-09,Kowalski,946.00
Polska,2004-05-19,King,110.00
Polska,2004-05-12,King,796.35
Polska,2004-05-16,Dudek,139.80
Polska,2004-05-23,Sowiski,355.50
Polska,2004-05-30,Kowalski,3554.27
Polska,2004-06-06,King,683.30
Polska,2004-06-04,Sowiski,2944.40
Polska,2004-06-06,Dudek,1152.50
Polska,2004-06-13,Sowiski,520.41
Polska,2004-06-18,Dudek,1761.00
Polska,2004-07-11,Kowalski,890.00
Polska,2004-06-20,King,2082.00
Polska,2004-06-30,Kowalski,2147.40
Polska,2004-06-30,Dudek,569.00
Polska,2004-07-10,King,142.50
Polska,2004-07-09,Dudek,23.80
Polska,2004-08-13,King,1994.40
